"STT","Mã sản phẩm","CODE","Tên sản phẩm","Đơn vị tính","Số lượng","Giá vốn"
"73","35914","TDH3427","Tê Đạt Hòa 34/27 mỏng","Cái"," "
"74","35915","TDH4921","Tê Đạt Hòa 49/21 mỏng","Cái"," "
"75","35916","TDH4927","Tê Đạt Hòa 49/27 mỏng","Cái"," "
"76","35917","TDH4934","Tê Đạt Hòa 49/34 mỏng","Cái"," "
"77","35918","TDH4942","Tê Đạt Hòa 49/42 mỏng","Cái"," "
"78","35919","TDH6021","Tê Đạt Hòa 60/21 mỏng","Cái"," "
"79","35920","TDH6027","Tê Đạt Hòa 60/27 mỏng","Cái"," "
"80","35921","TDH6034","Tê Đạt Hòa 60/34 mỏng","Cái"," "
"81","35922","TDH6042","Tê Đạt Hòa 60/42 mỏng","Cái"," "
"82","35923","TDH6049","Tê Đạt Hòa 60/49 mỏng","Cái"," "
"83","35924","TDH9060","Tê Đạt Hòa 90/60 mỏng","Cái"," "
"84","35925","TDH11460","Tê Đạt Hòa 114/60 mỏng","Cái"," "
"85","35926","TDH11490","Tê Đạt Hòa 114/90 mỏng","Cái"," "
"86","35927","NBDH21","Ngã ba Đạt Hòa 21 mỏng","Cái"," "
"87","35928","NBDH27","Ngã ba Đạt Hòa 27 mỏng","Cái"," "
"88","35929","NBDH34","Ngã ba Đạt Hòa 34 mỏng","Cái"," "
"89","35930","NDH2721","Nối Đạt Hòa 27/21 mỏng","Cái"," "
"90","35931","NDH3421","Nối Đạt Hòa 34/21 mỏng","Cái"," "
"91","35932","NDH3427","Nối Đạt Hòa 34/27 mỏng","Cái"," "
"92","35933","NDH4221","Nối Đạt Hòa 42/21 mỏng","Cái"," "
"93","35934","NDH4227","Nối Đạt Hòa 42/27 mỏng","Cái"," "
"94","35935","NDH4234","Nối Đạt Hòa 42/34 mỏng","Cái"," "
"95","35936","NDH4921","Nối Đạt Hòa 49/21 mỏng","Cái"," "
"96","35937","NDH4927","Nối Đạt Hòa 49/27 mỏng","Cái"," "
"97","35938","NDH4934","Nối Đạt Hòa 49/34 mỏng","Cái"," "
"98","35939","NDH4942","Nối Đạt Hòa 49/42 mỏng","Cái"," "
"99","35940","NDH6021","Nối Đạt Hòa 60/21 mỏng","Cái"," "
"100","35941","NDH6027","Nối Đạt Hòa 60/27 mỏng","Cái"," "
"101","35942","NDH6034","Nối Đạt Hòa 60/34 mỏng","Cái"," "
"102","35943","NDH6042","Nối Đạt Hòa 60/42 mỏng","Cái"," "
"103","35944","NDH6049","Nối Đạt Hòa 60/49 mỏng","Cái"," "
"104","35945","NDH7627","Nối Đạt Hòa 76/27 mỏng","Cái"," "
"105","35946","NDH7642","Nối Đạt Hòa 76/42 mỏng","Cái"," "
"106","35947","NDH7649","Nối Đạt Hòa 76/49 mỏng","Cái"," "
"107","35948","NDH7660","Nối Đạt Hòa 76/60 mỏng","Cái"," "
"108","35949","NDH9034","Nối Đạt Hòa 90/34 mỏng","Cái"," "
"109","35950","NDH9042","Nối Đạt Hòa 90/42 mỏng","Cái"," "
"110","35951","NDH9049","Nối Đạt Hòa 90/49 mỏng","Cái"," "
"111","35952","NDH9060","Nối Đạt Hòa 90/60 mỏng","Cái"," "
"112","35953","NDH11434","Nối Đạt Hòa 114/34 mỏng","Cái"," "
"113","35954","NDH11442","Nối Đạt Hòa 114/42 mỏng","Cái"," "
"114","35955","NDH11449","Nối Đạt Hòa 114/49 mỏng","Cái"," "
"115","35956","NDH11460","Nối Đạt Hòa 114/60 mỏng","Cái"," "
"116","35957","NDH11476","Nối Đạt Hòa 114/76 mỏng","Cái"," "
"117","35958","NDH11490","Nối Đạt Hòa 114/90 mỏng","Cái"," "
"118","35959","NDH130114","Nối Đạt Hòa 130/114 thủ công","Cái"," "
"119","35960","NDH14090","Nối Đạt Hòa 140/90 thủ công","Cái"," "
"120","35961","NDH140114","Nối Đạt Hòa 140/114 thủ công","Cái"," "
"121","35962","NDH16849","Nối Đạt Hòa 168/49 thủ công","Cái"," "
"122","35963","NDH16860","Nối Đạt Hòa 168/60 thủ công","Cái"," "
"123","35964","NDH16876","Nối Đạt Hòa 168/76 thủ công","Cái"," "
"124","35965","NDH16890","Nối Đạt Hòa 168/90 thủ công","Cái"," "
"125","35966","NDH168114","Nối Đạt Hòa 168/114 thủ công","Cái"," "
"126","35967","NDH168140","Nối Đạt Hòa 168/140 thủ công","Cái"," "
"127","35968","NDH22076","Nối Đạt Hòa 220/76 thủ công","Cái"," "
"128","35969","NDH22090","Nối Đạt Hòa 220/90 thủ công","Cái"," "
"129","35970","NDH220114","Nối Đạt Hòa 220/114 thủ công","Cái"," "
"130","35971","NDH220168","Nối Đạt Hòa 220/168 thủ công","Cái"," "
"131","35972","BDH21","Bịt Đạt Hòa 21 mỏng","Cái"," "
"132","35973","BDH27","Bịt Đạt Hòa 27 mỏng","Cái"," "
"133","35974","BDH34","Bịt Đạt Hòa 34 mỏng","Cái"," "
"134","35975","BDH42","Bịt Đạt Hòa 42 mỏng","Cái"," "
"135","35976","BDH49","Bịt Đạt Hòa 49 mỏng","Cái"," "
"136","35977","BDH60","Bịt Đạt Hòa 60 mỏng","Cái"," "
"137","35978","BDH76","Bịt Đạt Hòa 76 mỏng","Cái"," "
"138","35979","BDH90","Bịt Đạt Hòa 90 mỏng","Cái"," "
"139","35980","BDH114","Bịt Đạt Hòa 114 mỏng","Cái"," "
"140","35981","BDH140","Bịt Đạt Hòa 140 thủ công","Cái"," "
"141","35982","BDH168","Bịt Đạt Hòa 168 thủ công","Cái"," "
"142","35983","bdh220","Bịt Đạt Hòa 220 thủ công","Cái"," "
"143","35984","YDH21","Y Đạt Hòa 21 mỏng","Cái"," "
"144","35985","YDH27","Y Đạt Hòa 27 mỏng","Cái"," "
"145","35986","YDH34","Y Đạt Hòa 34 mỏng","Cái"," "
"146","35987","YDH42","Y Đạt Hòa 42 mỏng","Cái"," "
"147","35988","YDH49","Y Đạt Hòa 49 mỏng","Cái"," "
"148","35989","YDH60","Y Đạt Hòa 60 mỏng","Cái"," "
